movie_name,storyline,url
The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",https://www.imdb.com/title/tt14824600/
Color of Victory,"The days when Istanbul was occupied as a result of the Armistice of Mudros after the First World War and the Fenerbahce football team won the ""Harington Cup""",https://www.imdb.com/title/tt29808429/
A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity.",https://www.imdb.com/title/tt21051906/
Under Paris,"To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",https://www.imdb.com/title/tt13964390/
Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",https://www.imdb.com/title/tt14088510/
Crew,Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.,https://www.imdb.com/title/tt21383812/
Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.,https://www.imdb.com/title/tt10720352/
Bob Marley: One Love,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.",https://www.imdb.com/title/tt8521778/
Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975).",https://www.imdb.com/title/tt27657135/
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare.",https://www.imdb.com/title/tt21097228/
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,https://www.imdb.com/title/tt27196021/
Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,https://www.imdb.com/title/tt11539996/
Uglies,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.,https://www.imdb.com/title/tt13186604/
Unfrosted,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever.",https://www.imdb.com/title/tt14914430/
September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",https://www.imdb.com/title/tt28082769/
Savi,"Savi a simple housewife attempts a daring jailbreak to get her husband out of one of England's high security prisons With 400 inmates, 75 armed guards, 60 surveillance cameras.",https://www.imdb.com/title/tt32308617/
Subservience,"A family man buys a domestic android after his wife's hospitalization. The android develops obsessive attachment, manipulates the household, eliminates perceived rivals, and ultimately attempts to claim his wife's heart literally.",https://www.imdb.com/title/tt24871974/
Martin,"A journey of a man discovering himself, finding love and fighting for his motherland. Can he hold the fort on all three gates?",https://www.imdb.com/title/tt15334030/
